,gold_sents,pegasus_output_sents,oreo_pegasus_output_sents
93,"On September 30, 2004, the Equal Employment Opportunity Commission (""EEOC""), on behalf of an African American employee (plaintiff-intervenor), filed a lawsuit in the District Court of Maryland, under Title VII of the Civil Rights Act of 1964 and Title I of the Civil Rights Act of 1991, against Coca-Cola Enterprises, Inc.[SENTMARKER]The EEOC sought injunctive relief, compensatory damages, punitive damages, attorneys' fees, and other forms of affirmative relief claiming that the defendant did not promote the plaintiff-intervenor because of his race, African American.[SENTMARKER]The parties entered into a consent decree where the defendant, among other things, agreed to promote the plaintiff-intervenor to a higher-paying position as well as pay him $60,500.","On September 30, 2004, the EEOC filed this lawsuit in the U.S. District Court for the District of Maryland against Coca-Cola Enterprises, Inc., doing business as MidAtlantic CocaCola Enterprises.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by promoting the Plaintiff to a grade 15 managerial position because of his race.[SENTMARKER]The defendant also discriminated on the basis of race in the wages and other compensation and benefits that were paid to the Plaintiff.[SENTMARKER]The parties entered a consent decree in which the defendant agreed to pay the Plaintiff compensatory damages and atto rney fees.[SENTMARKER]The decree is in effect for three years from the date it was entered by the EEOC.[SENTMARKER]The consent decree also requires the defendant to promote and effectuate the purposes of Title VII.","On September 30, 2004, the U.S. Equal Employment Opportunity Commission (EEOC) filed this lawsuit against CocaCola Enterprises, Inc. (CCE) in the United States District Court for the District of Maryland.[SENTMARKER]The complaint alleged that the defendant discriminated on the basis of race by refusing to promote Mark Mason to the position of Field Service Manager because of his race, African-American.[SENTMARKER]The parties entered into a settlement agreement in which the defendant agreed to pay Mr. Mason damages in amounts to be determined at trial for the defendant's malicious and reckless conduct in discriminating against him.[SENTMARKER]The case was closed on October 1, 2004."
94,"The case was brought by African American employees of Friedman's, a jewelry store, and sought equitable and injunctive relief.[SENTMARKER]Plaintiffs alleged they had suffered from working in a racially hostile work environment and alleged that Friedman's had engaged in a pattern and practice of racial discrimination in hiring, promotion, compensation, and other terms and privileges of employment.[SENTMARKER]The case was finally settled on February 12, 2009, after Friedman's had entered into bankruptcy two times.[SENTMARKER]The named plaintiffs and class members received over a million dollars for costs with a portion to cover attorneys' fees.","On March 6, 2003, African American employees of Friedman's, Inc. filed a class action lawsuit in the U.S. District Court for the Northern District of Illinois against the company under the Civil Rights Act of 1866.[SENTMARKER]The complaint alleged that the company's policies and practices of intentional discrimination against African Americans were common to and typical of the claims of all plaintiffs and class members.[SENTMARKER]The case was closed on September 30, 2004, and the parties engaged in mediation.[SENTMARKER]The parties reached a settlement agreement in November 2005.[SENTMARKER]The settlement included injunctive relief issues, as well as a ""tentative agreement of the parties on classwide monetary relief,"" which was conditioned on the company obtaining funding for the settlement from Federal and St Paul Insurance Company.",Typicality is satisfied where the named plaintiffs’ claims rest on the same legal theory and arise from the same event or practice that gives rise to the claims of the other class members .
95,"On August 28, 2017, six transgender individuals currently serving in the United States military filed a complaint in the United States District Court for the District of Maryland Maryland contesting the President's ban on transgender service in the U.S. military.[SENTMARKER]Judge Garbis initially granted a motion for a preliminary injunction in September, but this was later stayed in 2019 when the Supreme Court issued a stay of this nationwide injunction in two factually similar cases contesting the ban.[SENTMARKER]This case changed dramatically in 2018 when the government altered its policy on transgender service in the military, eliminating an outright ban and instead putting new guidance on transgender men and women entering the service.[SENTMARKER]Judge Russell, reassigned to the case in 2018, dissolved the preliminary injunction, saying that it was only meant to stay a complete ban on transgender service in the military.[SENTMARKER]This also dismissed all claims against the 2017 outright ban as moot, and removed all plaintiffs that were already in the service and not seeking to join.[SENTMARKER]Discovery is ongoing in the case.","On September 28, 2017, a group of transgender individuals filed a lawsuit in the U.S. District Court for the Western District of Washington, alleging that the President's decision to withdraw the federal government's support for the Defense Department's transgender policy was a violation of their constitutional rights.[SENTMARKER]The district court granted in part and denied in part the cross-motions for summary judgment.[SENTMARKER]The parties and amici raised a number of other issues which are arguably before us, but we decline to reach them in favor of further proceedings in the district court leading to the trial of Plaintiffs' contentions.","On August 28, 2017, the American Civil Liberties Union of Maryland (ACLU of Maryland) filed a lawsuit in the U.S. District Court for the Western District of Washington against the Department of Defense (D.C.) and the President of the United States (President Trump) on behalf of transgender individuals currently serving in the military and those who intend to volunteer for service.[SENTMARKER]The plaintiffs alleged that the President's ban on transgender individuals serving in military service violated the Constitution's Equal Protection Clause and the Fourteenth Amendment's Due Process and Due Process Clauses.[SENTMARKER]On November 21, 2017, the District Court issued a preliminary injunction prohibiting the Defendants from taking any action to enforce the policies and directives encompassed in President Trump's August 25, 2017 Memorandum.[SENTMARKER]On January 22, 2019, the Supreme Court stayed the preliminary injunctions issued in this case and in Stockman.[SENTMARKER]The Ninth Circuit granted Plaintiffs' Motion for a Judicial Determination of Privilege Claims as moot.[SENTMARKER]The District Court granted Plaintiffs’ Motion for an extension of time to file a report with the results of its study of transgender military service that reviewed evidence collected while the Open Service Directive was in place and drafted a report.[SENTMARKER]The Court of Appeals for the Ninth Circuit denied Plaintiffs' motion for a judicial determination of privilege claims.[SENTMARKER]The case is now closed."
96,"In 2016, three Pocomoke City, Maryland police officers filed this lawsuit in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiffs alleged that they suffered racial discrimination and retaliation by their employer in violation of their First and Fourteenth Amendment rights and the Civil Rights Act of 1964.[SENTMARKER]In 2019, two of the officers reached a partial settlement with Pocomoke City requiring adoption of anti-discrimination policies and procedures by the police department and awarding monetary damages to the officers.[SENTMARKER]As of September 30, 2020, the case is still ongoing pending a final settlement.","On March 8, 2019, the U.S. District Court for the District of Maryland ruled in favor of the Pocomoke City Police Department and the Worcester County Sheriff's Office (WCSO) in a Title VII discrimination lawsuit brought by African American police officers against the City.[SENTMARKER]The complaint alleged that the City violated Title VII by engaging in racial discrimination, a racially hostile work environment, and retaliation for assertion of federal civil rights by the African American officers.[SENTMARKER]The Court entered a consent decree in October of 2014 between the City and the EEOC.[SENTMARKER]The decree required the City to provide a neutral reference for any potential employer that contacts Kelvin Sewell's dates of employment (November 18, 2010 July 1, 2015) and salary information.[SENTMARKER]The consent decree expired without further order on the latest of the following dates.","The U.S. District Court for the District of Maryland granted summary judgment to the City of Pocomoke City, the State of Maryland, and the Worcester County Sheriff's Office on March 8, 2019 in the case of Lynell Green.[SENTMARKER]Green filed this suit against the City and the County of Worcester County, alleging race-based discrimination and retaliation in violation of Title VII of the Civil Rights Act of 1964 and the Fair Labor Standards Act of 1985 and the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]The Court granted the City's motion to intervene on March 8th, 2019."
97,"The Equal Employment Opportunity Commission (EEOC) filed this Title VII racial-harassment and retaliation suit against A & R Truss Company for violation of Title VII of the Civil Rights Act of 1964 (42 U.S.C. § 2000e et.[SENTMARKER]seq.).[SENTMARKER]Alleging that Defendant had repeatedly subjected a black employee at the New Buffalo facility to racially offensive epithets and had met the employee's complaints with threats and intimidation, the EEOC sought monetary and injunctive relief, including compensation for emotional harm and punitive damages.[SENTMARKER]The parties entered into a one-year consent decree that provided monetary and injunctive relief.[SENTMARKER]The employee received $20,000.[SENTMARKER]A & R Truss was subject to an array of anti-harassment, anti-retaliation, training, policy, and notice provisions.[SENTMARKER]The case is now closed.","On August 15, 2005, the Equal Employment Opportunity Commission (the ""Commission"") brought this suit in the U.S. District Court for the Western District of Michigan against A R Truss Company.[SENTMARKER]The Commission alleged that the defendant engaged in unlawful employment practices or otherwise ratified such practices which violated Title VII of the Civil Rights Act of 1964.[SENTMARKER]The parties entered into a consent decree in which the defendant agreed to post a conspicuous notice of its anti-harassment policy in a conspicuous place in the workplace.[SENTMARKER]The decree also required the defendant to provide new employees with its employee handbook, which contains its employee harassment policy.[SENTMARKER]The parties agreed that the decree would remain in effect for one year from its entry with the Court and would end after the first day of work.","On August 15, 2005, the EEOC filed this suit in the U.S. District Court for the Western District of Michigan against A R Truss Company.[SENTMARKER]The complaint alleged that the defendant discriminated against a black employee by subjecting him to a hostile work environment based on his race, African American.[SENTMARKER]The parties reached a settlement in which the defendant agreed to develop a policy which complies with the anti-harassment provisions of Title VII of the Civil Rights Act of 1964, as amended, and to pay the employee $25,000.00 in alleged non-pecuniary compensatory damages."
98,"In December 2013, the EEOC brought this suit against Guardsmark, LLC for discharging its employee who opposed sexually inappropriate conduct in the workplace.[SENTMARKER]The parties entered a consent decree in September 2016, which provided Guardsmark would not retaliate against employees, would train employees on retaliation and sexual harassment, and Guardsmark would pay 115,000 in monetary relief to plaintiff-intervenor.[SENTMARKER]The case is now closed.","On December 24, 2013, the EEOC filed this lawsuit in the U.S. District Court for the Eastern District of Michigan against Guardsmark, LLC, a security contractor employed by General Dynamics Land System in Sterling Heights, Michigan.[SENTMARKER]The EEOC alleged that Guardsmark violated Title VII of the Civil Rights Act of 1964 by firing an employee who opposed a sexually hostile work environment by firing him.[SENTMARKER]The complaint alleged that the firing was in retaliation for the employee's role in a woman's sexual harassment complaint against a co-worker.[SENTMARKER]The court granted the EEOC's motion for summary judgment and ordered the defendant to pay the plaintiff's attorney's fees and costs.[SENTMARKER]The case is closed.","On December 24, 2013, the U.S. Equal Employment Opportunity Commission (EEOC) filed this action in the United States District Court for the Eastern District of Michigan against Guardsmark, LLC.[SENTMARKER]The complaint alleged that Guardsmark violated Title VII of the 1964 Civil Rights Act by firing a security guard who opposed a sexually hostile work environment by firing him in retaliation for his role in a woman's sexual harassment complaint.[SENTMARKER]The court granted the EEOC's motion for partial summary judgment and ordered Guardsmark to pay a total of $115,000 in monetary relief to the plaintiff.[SENTMARKER]The case was closed on September 6, 2017."
99,"Plaintiffs filed an age discrimination action against Seagate US, LLC. Plaintiffs alleged that they were terminated under false pretenses.[SENTMARKER]Upon termination, plaintiffs were forced to sign a release of liability, stating that they would not bring action against Seagate.[SENTMARKER]The court declared that the Releases offered to those Plaintiffs terminated pursuant to the 2004 RIF (""reduction in force"") are invalid as a matter of law.[SENTMARKER]The court declared that the releases signed by Plaintiffs pursuant to the 2004 SIRP (""special incentive retirement plan"") were valid, and the claims of those plaintiffs were dismissed.[SENTMARKER]A private settlement was reached on November 15, 2011.[SENTMARKER]The case was dismissed with prejudice on January 26, 2012.",This is a collective and individual age discrimination case in the U.S. District Court for the District of Minnesota.[SENTMARKER]The plaintiffs are former Seagate employees who either retired from the company pursuant to a Special Incentive Retirement Plan (SIRP) or were terminated in connection with a Reduction in Force (RIF) plan.[SENTMARKER]In each instance the affected employee was offered a severance payment in exchange for execution of a release and waiver of possible employment claims against Seagate.[SENTMARKER]The class seeks declaratory relief relating to the enforceability of purported releases and waivers signed by many of the plaintiffs.,"On May 28, 2008, the EEOC brought this case in the U.S. District Court for the Northern District of California against Seagate Technology, Inc. (Seagate) on behalf of former employees who were terminated in July 2004 under the company's Special Separation Agreement and Release (OWBPA) and terminated under the 2004 Reduction in Force Agreement (RIF) in violation of the Equal Employment Opportunity Act (EEO).[SENTMARKER]The court granted the plaintiffs' Motion for Partial Summary Judgment in part and denied the motion for full summary judgment in part.[SENTMARKER]The parties reached a settlement agreement in September 2011 and the case was dismissed on September 15, 2012."
100,"The case was brought by employees against their place of employment, Best Buy Co., seeking compensation for back pay and benefits, as well as reinstatement of old positions or a comparable financial award.[SENTMARKER]Plaintiffs alleged that Best Buy had discriminated against them on the basis of their age.[SENTMARKER]The case was dismissed on June 12, 2007 by Judge Michael J. Davis.","On August 11, 2006, employees of Best Buy Enterprise Services, Inc. filed this class action lawsuit in the U.S. District Court for the District of Minnesota.[SENTMARKER]The plaintiffs alleged that Best Buy had engaged in a pattern or practice of age discrimination against its older employees and other similarly situated employees.[SENTMARKER]The defendants alleged that they had used performance plans, job assignments, ratings quotas, and other measures to pressure its older IS employees to quit and/or to justify their terminations.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment on the grounds that the defendants had failed to comply with the Older Workers Benefit Protection Act, 29 US.C.[SENTMARKER]626(f) and that the older employees were entitled to release of their age discrimination claims without complying with the ADEA.","On June 12, 2007, former employees of Best Buy filed a class action lawsuit against the company in the U.S. District Court for the Eastern District of New York.[SENTMARKER]The plaintiffs alleged that the company had violated federal and state laws by terminating or demotioning them for non-performance.[SENTMARKER]The court granted summary judgment in favor of the plaintiffs in 2006, and the case was closed in 2007."
101,"In December 2004 plaintiff, a quadriplegic who was not hired by defendant, alleged that defendant's employment practices were discriminatory under Title I of the Americans with Disabilities Act of 1990 and under Title I of the Civil Rights Act of 1991.[SENTMARKER]The case went to trial and the jury found in favor of the defendant and awarded $11,478.87 in costs against the plaintiff.[SENTMARKER]Plaintiff appealed the judgment to the 11th Circuit and on March 13, 2009 the appellate court issued an opinion affirming the lower court.[SENTMARKER]The case is now closed.","On December 1, 2004, the EEOC filed this suit in the U.S. District Court for the Western District of Missouri against UMB Financial Corporation.[SENTMARKER]The EEOC alleged that UMB violated Title VII of the Civil Rights Act of 1964 by refusing to hire a customer service representative based on his disability.[SENTMARKER]The complaint alleged that the defendant failed and refused to hire the customer because of his disability, which included quadriplegia.[SENTMARKER]The parties filed a motion for summary judgment on the issue of whether the EEOC made a good faith effort to conciliate the EEOC's charge of discrimination under Title VII.[SENTMARKER]The court granted the motion, and the case was stayed for 60 days.","On December 1, 2004, the EEOC filed this suit in the U.S. District Court for the Western District of Missouri against UMB Bank Financial Corporation.[SENTMARKER]The complaint alleged that the defendant violated Title I of the Americans with Disabilities Act of 1990 by failing to meet with the plaintiff regarding his disability and his ability to perform the essential functions of the position for which he applied.[SENTMARKER]The court denied the defendant's motion for a new trial on June 8, 2007.[SENTMARKER]On June 28, 2007, the jury returned a verdict in favor of the EEOC."
102,"On September 21, 2007, the EEOC filed a claim in the United States District Court for the Eastern District of Missouri under Title VII of the Civil Rights Act of 1964 and Title I of the Civil Rights Act of 1991 on behalf of two aggrieved female employees.[SENTMARKER]The EEOC alleged that Defendant, Bodega Bars, engaged in unlawful employment practices on the basis of sex.[SENTMARKER]In 2008, the parties entered into a consent decree that required the Defendant to not engage in sex discrimination or sexual harassment of employees, establish a sexual harassment policy and training program for employees, as well as pay monetary damages to the two aggrieved employees.[SENTMARKER]The case is presumed closed.","On September 21, 2007, the EEOC filed a complaint in the U.S. District Court for the Eastern District of Missouri against Bodega Bars USA, d/b/a Mosaic Restaurant.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by committing unlawful employment practices with respect to its employees, Aimee Boss and Morgan Hagedon.[SENTMARKER]On November 29, 2007, movants filed the motion to intervene as a matter of right in this action.[SENTMARKER]The parties entered into a Consent Decree, which required the defendant to adopt a sexual harassment policy and provide its employees with a complaint procedure notice.[SENTMARKER]The consent decree was in force for a period of two (2) years.","On September 21, 2007, the Equal Employment Opportunity Commission (EEOC) filed a complaint in the U.S. District Court for the Eastern District of Missouri against Bodega Bars USA, LLC, d/b/a Mosaic Restaurant.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by committing unlawful employment practices with respect to its employees, Aimee Boss and Morgan Hagedon.[SENTMARKER]The defendant agreed to pay in settlement of all claims alleged against them by the plaintiff-intervenor, to be made in payments of$8,000 on each of the following dates: June 30, 2008, December 30, 2008, and September 30, 2009."
103,"The Equal Employment Opportunity Commission (EEOC) filed this Title VII retaliation suit against Quik-Chek, Inc. on behalf of a black employee.[SENTMARKER]The EEOC alleged that Quik-Chek had fired the employee in retaliation for complaining about racial discrimination and threatening litigation over the discrimination and the company's response to her complaints.[SENTMARKER]The parties reached a settlement in mediation, which the Court entered as a consent decree.[SENTMARKER]The decree provided $11,500 to the employee and contained an array of injunctive provisions.[SENTMARKER]Defendant had ceased business operations, and the decree included provisions, such as antidiscrimination training and EEOC reporting, that would activate if Defendant resumed business activities.[SENTMARKER]The case is closed.","The EEOC brought this suit against Quik-Chek, Inc. in the U.S. District Court for the Eastern District of North Carolina.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by discharging Wanda Smith in retaliation for her complaints about racial discrimination.[SENTMARKER]The parties entered into a consent decree.[SENTMARKER]The decree required the defendant to adopt, implement, and distribute a formal, written anti-discrimination policy; provide an annual training program to all of its managers, supervisors and employees; provide a neutral letter of reference to Smith; and report compliance with the decree to the EEOC.[SENTMARKER]The term of the decree was five years.","The Commission's complaint alleged that Defendant Quik-Chek, Inc. violated Title VII by discharging Wanda Smith in retaliation for her complaints about racial discrimination.[SENTMARKER]The parties stipulate to jurisdiction of the Court over the parties and agree that the subject matter of this action is properly before the Court.<n>The parties have advised this Court that they desire to resolve the allegations without the burden, expense, and delay of further litigation."
104,"In August 2006, the EEOC brought this suit in the U.S. District Court for the Eastern District of North Carolina on behalf of two female employees of Cinelli's restaurant.[SENTMARKER]The EEOC alleged that the company violated Title VII by subjecting two female employees to a sexually hostile work environment.[SENTMARKER]In 2008, the court entered a default judgment because the defendant failed to respond.[SENTMARKER]The employees were awarded approximately $87,674 in back pay, compensatory damages, and punitive damages.","On August 3, 2006, the Equal Employment Opportunity Commission (EEOC) filed this lawsuit in the U.S. District Court for the Eastern District of North Carolina against S.G.T.[SENTMARKER]Cinelli's, Inc., d/b/a Cinelli’s Restaurant.[SENTMARKER]The complaint alleged that the defendants engaged in unlawful employment practices in and around Cary, North Carolina, in violation of Title VII and Title I of the Civil Rights Act of 1991 by subjecting a class of similarly situated women to a hostile work environment and by constructively discharging them as a result of sexual harassment based on their sex.[SENTMARKER]The parties settled on March 6, 2007 and the case was closed.","On August 3, 2006, the Equal Employment Opportunity Commission filed this lawsuit in the U.S. District Court for the Eastern District of North Carolina against S.G.T.[SENTMARKER]Cinelli's Ristorante, Inc. and its parent company.[SENTMARKER]The complaint alleged that the defendants violated Title VII of the Civil Rights Act of 1964 by subjecting a class of similarly situated women to a hostile work environment and by constructively discharging a group of women as a result of sexual harassment.[SENTMARKER]On September 12, 2008, the court entered a judgment in the amount of $25,000 in compensatory damages plus interest and $12,674 in back pay plus interest for the individual employees for punitive damages and that the costs be taxed against the defendants.[SENTMARKER]On June 3, 2008, this court deferred ruling on Plaintiffs Motion to Strike and Motion for Default Judgment and directed Defendant Ristorante to show cause within ten days of the order.[SENTMARKER]The parties subsequently filed a motion to extend the discovery period (DE #31), which was granted in its entirety."
105,"EEOC's Charlotte, NC office filed this lawsuit alleging discrimination based on national origin against the defendant, Sears, Roebuck &amp; Co. in the United States District Court for the Eastern District of North Carolina (Eastern Division) on 09/16/1998.[SENTMARKER]EEOC alleged on behalf of a job applicant who was a naturalized American of Mexican origin that the defendant refused to hire him because of his national origin and specifically Spanish accent.[SENTMARKER]The district court's granting of summary judgement to the defendant was reversed on appeal.[SENTMARKER]The defendant and the applicant settled and voluntarily dismissed his part of the case, while the EEOC and the defendant entered into a 1-year consent decree, which prohibited national origin discrimination and mandated training and posting of an Equal Employment notice.","On September 16, 1998, the EEOC filed this suit in the U.S. District Court for the Eastern District of North Carolina, Eastern Division against Sears, Roebuck and Co., alleging that the defendant violated Title VII of the Civil Rights Act of 1964 by failing or refusing to hire an applicant because of his national origin.[SENTMARKER]The complaint alleged that Sears refused to hire the applicant because he was a Spanish surnamed, naturalized United States citizen born in Mexico, who speaks English with a distinguishable Spanish accent.[SENTMARKER]The parties entered into a consent decree (the "" Consent Decree""), which required the defendant to post an Employee Notice, conduct training for all management employees at its Morehead City, North Carolina store during the term of the Consent Decree, and to provide a written copy of its nondiscrimination policy at the time of hire or transfer.[SENTMARKER]The consent decree was entered on December 16, 1998, and the parties agreed to settle the case.","The Equal Employment Opportunity Commission (EEOC) filed this suit in the U.S. District Court for the Eastern District of North Carolina on behalf of Francisco G. Santana, a Mexican-American who was denied a job at a Sears store in Morehead City, N.C.[SENTMARKER]because of his national origin.[SENTMARKER]The district court granted summary judgment to Sears.[SENTMARKER]Santana and the EEOC appealed to the Fourth Circuit.[SENTMARKER]The Fourth Circuit reversed the district court's decision."
106,"On August 7, 2007, the U.S. Department of Justice (DOJ) filed a lawsuit under Title VII of the Civil Rights Act of 1964 against the University of North Carolina in the U.S. District Court for the Middle District of North Carolina.[SENTMARKER]The DOJ, alleging that the defendant discriminated against two female employees by subjecting them to sexual harassment.[SENTMARKER]On April 28, 2008, the Court (Judge Thomas D. Schroeder) entered a consent decree.[SENTMARKER]The contained injunctions on gender discrimination and retaliation, and orders to modify harassment complaints procedure, and to provide anti-discrimination training.[SENTMARKER]Individuals received monetary damages of $55,000 total.","On April 28, 2008, the U.S. Department of Justice (DOJ) filed this lawsuit in the United States District Court for the Eastern District of North Carolina against North Carolina State University (NCATSU) on behalf of two female employees.[SENTMARKER]The complaint alleged that NCATSU discriminated against the female employees by failing or refusing to take appropriate action to remedy the effects of the discrimination in violation of Title VII of the Civil Rights Act of 1964, as amended.[SENTMARKER]The parties entered into a consent decree (Decree) on April 28, 2008.[SENTMARKER]The Decree was entered into with the consent of both parties, and the parties agreed to waive, for purposes of the Decree only, hearings and findings of fact and conclusions of law on all issues, and further agreed to the entry of this Decree as final and binding between them with regard to the issues raised in the Complaint.[SENTMARKER]The consent decree required the University/NCATSU to:  provide a written confirmation that all persons covered by the Decree attended the training;  retain all documents, in paper or electronic form (including electronic mail), that come into its possession related to complaints of sex discrimination (formal or informal, verbal or written) made by employees in the Department of Police and Public Safety; and/or (b) related to the training provided for under the Consent Decree.[SENTMARKER]The University will offer to pay Ms. Murray and Ms. Smith a monetary award of twenty-six thousand dollars ($26,000), which will be considered compensatory damages.","On September 19, 2005, the Equal Employment Opportunity Commission (EEOC) filed this lawsuit in the U.S. District Court for the Middle District of North Carolina.[SENTMARKER]The complaint alleged that the defendant, the North Carolina Agricultural and Technical State University, violated Title VII of the Civil Rights Act of 1964 by failing or refusing to take appropriate action to remedy the effects of the discriminatory treatment of Murray and Smith.[SENTMARKER]The parties entered into a consent decree on April 28, 2008.[SENTMARKER]The decree was entered by the Judge Thomas D. Schroeder, and the parties released each other from all legal and equitable claims, as well as all current, former and future agents, employees, officials, designees, predecessors and successors in interest."
107,"The Equal Employment Opportunity Commission (EEOC) filed this Title VII retaliation suit against Blackwell's Book Services on behalf of a black employee.[SENTMARKER]The EEOC alleged that the employee was  abruptly fired in retaliation for passing on complaints of racial discrimination and harassment and in violation of Title VII of the Civil Rights Act of 1964 (42 U.S.C. § 2000e et.[SENTMARKER]seq.).[SENTMARKER]The EEOC sought its costs and monetary and injunctive relief for the employee, including a retaliation prohibition, back pay, job search expenses, compensation for emotional harm, and punitive damages.[SENTMARKER]The employee intervened, bringing claims for hostile work environment, impairment of contract, and violation of New Jersey law.[SENTMARKER]The employee later dismissed her claims voluntarily, and the EEOC and Blackwell's entered a settlement agreement, which the Court entered as a consent decree.[SENTMARKER]Under the2-year decree, the employee received $65,000, and Balckwell's was subject to an array of injunctive provisions.[SENTMARKER]The case is now closed.","The EEOC filed this suit in the U.S. District Court for the District of New Jersey against Blackwell's Book Services, Inc. on June 3, 2004.[SENTMARKER]The EEOC alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by firing an African American employee on the basis of poor performance.[SENTMARKER]The defendant denied the EEOC's allegations.[SENTMARKER]The parties entered into a Consent Decree in which the defendant agreed not to retaliate against any person because he or she opposed any practice inade unlawful by Title VII, filed a Title VII charge of discrimination, participated in any Title VII proceeding, or asserted any rights under Title VII.[SENTMARKER]The consent decree also provided that the EEOC would be allowed to enter the defendant's premises for such purposes.","On June 3, 2004, the EEOC filed this lawsuit in the U.S. District Court for the District of New Jersey against Blackwell's Book Services, Inc. (""Blackwell's""), alleging that the defendant violated Title VII of the Civil Rights Act of 1964 (""Title VII""), by firing an employee who complained about racial harassment by a white supervisor.[SENTMARKER]The case was settled in December 2004 by a consent decree.[SENTMARKER]The decree was entered into by and binding between the EEOC and the defendant.[SENTMARKER]The defendant denied all of the claims asserted in the EEOC's complaint."
108,"In August 2006, the EEOC brought this suit in the U.S. District Court for the District of New Jersey on behalf of two employees over aged 60 who received reduced severance pay after their plant closed.[SENTMARKER]It alleged that reducing the severance pay of employees over 60 who qualified for pensions violated the Age Discrimination in Employment Act. On May 27, 2008, the court ruled in favor of the defendants and awarded no relief.","The EEOC brought this suit in the U.S. District Court for the District of New Jersey against the United Automobile, Aerospace Agricultural Implement Workers of America Local 1668.[SENTMARKER]The complaint alleged that the defendants violated the Age Discrimination in Employment Act of 1967, as amended, by reducing the severance benefits of two workers because of their age.[SENTMARKER]The case was transferred to the Third Circuit Court of Appeals.[SENTMARKER]The Third Circuit remanded the case to the Fourth Circuit for further proceedings.","The District Court for the District of New Jersey (D.N.J.)[SENTMARKER]filed this suit against U.S. Aluminum, Inc. and its successor employer, United Automobile, Aerospace Agricultural Workers of America Local 1668, alleging that the defendants had violated the Age Discrimination in Employment Act of 1967 (ADEA) by hiring all of the hourly-paid employees of the predecessor employer, which was represented by Union, and reducing the severance pay of the former employee by $21,604, from $34,112 to $12,507.3.[SENTMARKER]The case was brought by the District Court's Equal Employment Opportunity Commission (EEOC) on behalf of the two former employees, Juanarge Tufino and George Haberberger.[SENTMARKER]The parties settled the case in 2006, and the case was closed in 2008."
109,"In 2012, EEOC filed a complaint on behalf of two female employees of the Defendants, who had suffered sexual harassment.[SENTMARKER]Plaintiff argues the Defendants violate Section 703(a) of Title VII, 42 U.S.C. §§2000e-2(a).[SENTMARKER]In 2004, the parties reached a settlement by which Defendants agreed to pay damages to the employees.[SENTMARKER]The case then was closed.","The New Mexico Equal Employment Opportunity Commission (the ""EEOC"") filed this suit in the U.S. District Court for the District of New Mexico on April 6, 2004 against Bell Gas, Inc., Cortez Gas Company, and ABC Propane, Inc, d/b/a AWC Propane.[SENTMARKER]The complaint alleged that the defendants discriminated against two female employees on the basis of their sex.[SENTMARKER]The parties entered into a consent decree in which the defendants agreed to implement policies and procedures to prevent and remedy any alleged harassment.[SENTMARKER]The decree is in effect for a total of two (2) years.[SENTMARKER]All corporate officers, directors, managers, supervisors and employees of the defendants shall attend the first seminar-iraining session.","The EEOC filed this lawsuit in the U.S. District Court for the District of New Mexico against Bell Gas, Inc., and Ballew Distributing, in violation of Title VII of the Civil Rights Act of 1964 ('Title Vll') and the New Mexico Human Rights Act ('HRA').[SENTMARKER]The complaint alleged that the defendants engaged in unlawful employment practices by discriminating against female employees because of their sex, female, by sexually harassing them.[SENTMARKER]The parties entered into a consent decree in which the defendants agreed to pay damages and implement procedures to prevent and remedy any alleged harassment."
110,"In 2005, the Equal Employment Opportunity Commission (EEOC) brought suit against Nichols Gas and Oil, Inc. (Nicholas) and Townsend Oil Corporation (Townsend) in the U.S. District Court for the Western District of New York.[SENTMARKER]The complaint alleged discrimination based on sex, female, in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]The case ended in and court approved consent decree granting monetary and injunctive relief.","On September 14, 2005, the Equal Employment Opportunity Commission (EEOC) filed this suit in the United States District Court for the Western District of New York against Nichols Gas Oil, Inc. (Nichols) and Townsend Oil Corporation (Townsend).[SENTMARKER]The complaint alleged that the parties violated Title VII of the Civil Rights Act of 1964 by engaging in a pattern of sexual harassment and retaliation against female employees.[SENTMARKER]The parties entered into a consent decree on October 1, 2007.[SENTMARKER]The decree stipulated that Townsend would provide all of its employees with a copy of its anti-harassment policy within 10 days of its entry into force, and that it would take immediate and appropriate corrective action when it determines that claimants were constructively discharged due to the on-going sexual harassment or who refused to participate in the sexualized work atmosphere by further harassing them, terminating them, or taking other adverse action against them.[SENTMARKER]The decree also stipulated that Nichols would not retaliate against any of its female employees who complained of harassment or retaliation.","The EEOC filed this suit in the U.S. District Court for the Western District of New York against Nichols Gas Oil, Inc. and Townsend Oil Corporation.[SENTMARKER]The complaint alleged that Nichols, through its owner, and some of its male employees, committed the discriminatory acts in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]The complaint demanded injunctive relief, as well as compensatory and punitive damages.[SENTMARKER]The parties did not file objections to Judge Payson’s decision."
