,gold_sents,pegasus_output_sents
10,"In 2016, prisoners that had completed their sentences but remained incarcerated by the Illinois Department of Corrections filed this class action against the state in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The plaintiffs alleged that the Illinois statutory scheme governing mandatory supervised release (MSR) for sex offenders and the requirement for offenders to have an approved “host site” in order to be released from custody violated their Eighth and Fourteenth Amendment rights.[SENTMARKER]The court awarded the plaintiffs summary judgment on the Eighth and Fourteenth Amendment claims.[SENTMARKER]The court entered a permanent injunction on January 15, 2020,  requiring IDOC to present a plan for releasing class members from custody, and quarterly reports outlining steps that were being taken to ensure that all class members would be properly released by January 2, 2021.[SENTMARKER]As of July 2020, the court's supervision of IDOC's progress is ongoing.","On August 18, 2017, a group of homeless sex offenders filed this lawsuit in the U.S. District Court for the Northern District of Illinois against the Illinois Attorney General, the Illinois Department of Corrections, and the Illinois Prison Review Board.[SENTMARKER]The plaintiffs alleged that the defendants violated the Eighth and Fourteenth Amendments by imposing unmeetable restrictions on where they can live that must be satisfied in order for such individuals to be released on mandatory supervised release (MSR).[SENTMARKER]The plaintiffs sought declaratory and injunctive relief, as well as monetary relief.[SENTMARKER]The defendants moved for summary judgment on four grounds, arguing that the plaintiffs' claims fall within the scope of habeas corpus rather than 42 U.C.[SENTMARKER]The Seventh Circuit denied the defendants' motion to dismiss on three grounds.[SENTMARKER]The case is now closed."
11,"On October 21, 2015, a private plaintiff sued the City of Dodge City, Kansas and Ford County in a civil rights action arising under 42 U.S.C. § 1983.[SENTMARKER]The plaintiff alleged that the Dodge City's wealth-based post-arrest detention scheme violated the Due Process and Equal Protection Clauses of the Fourteenth Amendment.[SENTMARKER]The plaintiff sought injunctive relief, compensatory damages, and a declaration that the City's wealth-based detention practices were unlawful.[SENTMARKER]The parties agreed to settle that the City would be enjoined from holding an arrestee in custody after a non-warrant arrest on the basis of inability to post bond.[SENTMARKER]The court retains jurisdiction to enforce the injunction but the case otherwise appears closed.","On June 22, 2010, a man arrested for disorderly conduct in Dodge City, Kansas filed a lawsuit in the U.S. District Court for the District of Kansas against the City of Dodge City and the Ford County Sheriff's Office.[SENTMARKER]The Plaintiff alleged that the Defendants' policy of refusing to release arrestees from jail unless they pay a generic and arbitrary ""bond"" amount violated the Equal Protection Clause of the Fourteenth Amendment to the United States Constitution.[SENTMARKER]The District Court granted the Plaintiff's motion for entry of a final judgment in favor of the Plaintiff and the Defendant.[SENTMARKER]The Court entered an injunction requiring the Defendants to release all individuals arrested (for non-warrant arrests) in the City for violation of municipal ordinances of the City on Own Recognizance Bonds (""OR Bonds"") without further conditions of release as soon as practical after booking and will not require individuals to post any type of monetary bond pursuant to an established schedule for the alleged offense.[SENTMARKER]The Defendants also agreed to pay the plaintiff's costs and attorney's fees incurred by the Defendant to enforce the injunction as set forth above."
12,"In 2015, prisoners in the Kentucky Clark County Jail filed this class action in the U.S. District Court for the Eastern District of Kentucky, alleging that the state did not afford adequate procedural right prior to unlawfully charging inmates a fee for their incarceration without an order from the sentencing court.[SENTMARKER]The plaintiffs sought a declaratory judgment, permanent injunction of the practice, and monetary damages.[SENTMARKER]The court granted the defendants' motion to dismiss and dismissed all claims alleged in the complaint with prejudice, and all pending motions were denied moot.[SENTMARKER]In 2016, the plaintiffs appealed but the appeals court affirmed the judgment of the district court.","On October 26, 2013, a former inmate of the Clark County Detention Center filed this class action lawsuit in the U.S. District Court for the Eastern District of Kentucky against Clark County, Kentucky and Clark County Jailer, Frank Doyle.[SENTMARKER]The plaintiff alleged that the defendants' practice of charging prisoners for their incarceration without an order of a sentencing court violated the Fourteenth Amendment and the Due Process Clause of the United States Constitution.[SENTMARKER]The district court dismissed the federal claim with prejudice, and dismissed the state claims without prejudice.[SENTMARKER]On March 11, 2016, the Sixth Circuit affirmed the district court's dismissal of the federal claims.[SENTMARKER]The case is now closed."
13,"This 2017 class lawsuit was brought by two residents of East Baton Rouge Parish in the U.S. District Court for the Middle District of Louisiana.[SENTMARKER]The plaintiffs alleged that, in charging fees in addition to bail to be released from prison before trial, the defendant RHI had violated federal and state anti-racketeering law, their Due Process and Equal Protection rights, and the right to be free from unreasonable searches and seizures.[SENTMARKER]The parties reached a private settlement, and the case was dismissed on February 20, 2020.","On February 4, 2019, a group of individuals arrested for criminal offenses in East Baton Rouge Parish, Louisiana filed a class action lawsuit in the U.S. District Court for the Middle District of Louisiana against Rehabilitation Home Incarceration (RHI) and the local sheriff's office.[SENTMARKER]The plaintiffs alleged that the defendants' pretrial supervision practices violated the Fourth and Fourteenth Amendments to the United States Constitution.[SENTMARKER]Specifically, the plaintiffs sought monetary relief from defendants' extortionate and unconstitutional pretrial supervised practices, which violated the state and federally-protected rights of the class members.[SENTMARKER]The court granted RHI's motion for partial dismissal of the case on June 4, 2019.[SENTMARKER]The case is now closed."
14,"In 2015, indigent former criminal defendants filed this putative class action lawsuit in the U.S. District Court for the Eastern District of Louisiana.[SENTMARKER]Plaintiffs alleged that that the defendants had a practice of imprisoning individuals who had failed to pay court debts without meaningfully determining whether the individuals had the ability to pay the debt.[SENTMARKER]In August 2018, granted plaintiffs’ motion for class certification, and held that the Judges’ policy/practice of not inquiring into the ability of the persons falling within the certified class to pay before they are imprisoned for non-payment of court debts was unconstitutional, and that the Judges’ failure to provide a neutral forum for determination of such persons’ ability to pay was unconstitutional.[SENTMARKER]The defendants appealed to the Fifth Circuit Court of Appeals.[SENTMARKER]The Fifth Circuit affirmed the lower court on August 23, 2019.[SENTMARKER]The defendants petitioned the Fifth Circuit to rehear the case en banc on September 6, 2019, but the court denied to rehear on September 30.[SENTMARKER]The defendants filed a petition for writ of certiorari in the U.S. Supreme Court on December 20, 2019.[SENTMARKER]Cert was denied on March 3, 2020.","On May 13, 2016, two New Orleans residents filed a class action lawsuit in the U.S. District Court for the Eastern District of Louisiana against the City of New Orleans, the Orleans Parish Criminal District Court, and the Sheriff's Office.[SENTMARKER]The plaintiffs alleged that the defendants violated their Fourth and Fourteenth Amendment rights by placing and keeping them in jail prior to any debt-collection proceedings when they cannot afford to pay the preset amount of money required for release after a Collections Department nonpayment arrest if the person seeks to contest the issue of nonpayment or the validity of the debt.[SENTMARKER]The defendants moved to dismiss the case for lack of subject matter jurisdiction.[SENTMARKER]The district court granted the defendants' motion for summary judgment, finding that the plaintiffs had no standing to pursue their claims for equitable relief.[SENTMARKER]The case is now closed."
15,"A class-action lawsuit sought declaratory judgment against twelve Louisiana judges, alleging that the judges violated Plaintiffs' Due Process and Equal Protection rights by imposing bail without determining whether arrestees could pay.[SENTMARKER]The complaint also alleged an improper financial incentive for judges to impose bail in order to receive a portion of the money for their general expense fund.","On June 18, 2020, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Louisiana against the Orleans Parish Criminal District Court and Orleans Parish Sheriff Marlin Gusman.[SENTMARKER]The plaintiffs, represented by the Roderick and Solange MacArthur Justice Center and Civil Rights Corps, alleged that the defendants' post-arrest detention and release procedures that require presumptively innocent arrestees to pay a bond to a commercial surety to secure their release violated the Fourteenth Amendment to the United States Constitution.[SENTMARKER]The parties sought injunctive relief, declaratory and monetary relief, and class certification.[SENTMARKER]On November 1, 2019, the plaintiffs filed an emergency petition for writ of habeas corpus, claiming that they were impermissibly jailed despite voicing to the court their inability to pay the bond amounts imposed.[SENTMARKER]On June 9, 2020, Governor Jon Bel Edwards signed Act 110 of the 2020 Session of the Louisiana Legislature, which was signed into law on June 18, 2020.[SENTMARKER]The parties discussed the effect of the new law on the status of the case and the parties agreed that they would dismiss the case with prejudice.[SENTMARKER]On August 18, 2020, the case was dismissed without prejudice.[SENTMARKER]The case is now closed."
16,"In December 2020, four individuals at East Baton Rouge Parish Prison (EBRPP) filed this class action lawsuit alleging violations of their Fourteenth and Sixth Amendment rights by judicial and prison officials.[SENTMARKER]On December 15, the plaintiffs filed a motion for temporary restraining order and preliminary injunction.[SENTMARKER]The request for a temporary restraining order was later withdrawn in January 2021.[SENTMARKER]A settlement conference is scheduled for March 11 and the deadline for the parties to file a joint status report is March 21.[SENTMARKER]The defendants' responsive pleading to the complaint is due on March 22, 2021.[SENTMARKER]This case is ongoing.","On November 6, 2020, a class action lawsuit was filed in the U.S. District Court for the Middle District of Louisiana against the East Baton Rouge Parish Sheriff's Office and the Criminal Division of the 19th Judicial District Court.[SENTMARKER]The plaintiffs alleged that the Sheriff and Warden of the EBRPP violated the Fourteenth Amendment to the United States Constitution when they set secured financial conditions of release without an inquiry into ability to pay or consideration of non-financial alternatives, which results in jailing poor members of the community for no reason other than their poverty while allowing release from jail for their similarly situated counterparts who have greater financial means.[SENTMARKER]The class seeks declaratory and injunctive relief on behalf of all individuals who are in the custody of the Sheriff’s office after their arrest and who have been or will be subjected to the bail practices of the Judges and Commissioners of the District Court and who receive determinations on their eligibility for bail from the Judge's office and when detaining individuals.[SENTMARKER]The Plaintiffs also allege that they have been physically and sexually assaulted repeatedly by the detainees in the jail.[SENTMARKER]The case is ongoing."
17,"On January 19, 2006, a death-sentenced inmate of the Maryland Correctional Adjustment Center in Baltimore, Maryland filed a lawsuit under 42 U.S.C. § 1983 against the Maryland Department of Corrections in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiff objected to the three-drug cocktail (sodium pentothal, pancuronium bromide, and potassium chloride) used in Maryland's lethal injections.[SENTMARKER]The plaintiff argued that the defendant's lethal injection procedures arbitrarily and unnecessarily created a grave risk that he would suffer extreme pain during his execution, thus violating his rights under the Eighth and Fourteenth Amendments.[SENTMARKER]The plaintiff also filed a similar complaint in the Circuit Court for Baltimore City alleging that the defendants failed to follow Maryland law because the execution protocol had not been adopted under the Maryland Administrative Procedures Act (MAPA).[SENTMARKER]On December 19, 2006 the Maryland Court of Appeals invalidated the Maryland execution protocols until such time as they were properly adopted under MAPA or exempted from that requirement by an act of the Maryland General Assembly.[SENTMARKER]On January 29, 2007, two bills were introduced in the Maryland General Assembly, one that would exempt the death penalty protocols from the MAPA requirement and one that would repeal the death penalty in the state.[SENTMARKER]The judge agreed to stay the proceedings of this case pending the outcome of the legislation.[SENTMARKER]According to the status report on March 14, 2011, all executions in Maryland had been stayed until the proper administrative regulations were adopted.[SENTMARKER]On August 16, 2012 this case was administratively closed.[SENTMARKER]In May 2013 the Maryland legislature repealed the death penalty for all future convictions and in December 2014 Governor O'Malley commuted the death sentences of the four remaining death-row inmates to life without the possibility of parole.","On January 19, 2006, an inmate sentenced to death by lethal injection filed this suit in the U.S. District Court for the District of Maryland against the Maryland Department of Public Safety and Correctional Services.[SENTMARKER]The inmate claimed that the state's lethal injection protocol unnecessarily added potassium chloride, a saturated solution of the compound that is toxic to the heart, to the three-drug cocktail of sodium pentothal, pancuronium bromide, and potassium chloride.[SENTMARKER]The court denied the inmate's request for a temporary restraining order and preliminary injunction, and the case was dismissed.[SENTMARKER]On February 1, 2006, the Supreme Court granted certiorari and a stay of execution to a Florida inmate who had challenged Florida's execution protocol.[SENTMARKER]The case is scheduled to be heard in September 2006."
18,"In response to the economic crisis caused by the COVID-19 pandemic of 2020, Congress passed the CARES Act, which created, among other things, the “Paycheck Protection Program.”[SENTMARKER]Under this program, small business owners could apply for a loan from the Small Business Administration; if they later certified that all of the loan funds had been used for qualifying expenses, the loan would be forgiven.[SENTMARKER]The SBA’s rules disqualified many small business owners with criminal records.[SENTMARKER]Several small business owners brought this lawsuit against the SBA in the U.S. District Court for the District of Maryland, challenging this criminal record exclusion.[SENTMARKER]On June 29, the court granted a preliminary injunction requiring the SBA to extend the application deadline for the named plaintiffs from June 30 to July 21, 2020.[SENTMARKER]The following week, Congress passed follow-up legislation extending the deadline for all applicants to August 8, 2020.[SENTMARKER]As of July 29, 2020, further developments in the litigation are pending.","On March 27, 2020, a New York-based graphic designer filed this lawsuit in the U.S. District Court for the District of Maryland against the Small Business Administration (SBA) and the United States Department of Justice (DOJ) under the CARES Act.[SENTMARKER]The complaint alleged that the SBA's Paycheck Protection Program (PPP) excluded small business owners with criminal records from the federal government's critical federal aid program.[SENTMARKER]According to the complaint, the plaintiffs allege that the criminal history exclusion is arbitrary and capricious, and that the defendants failed to carry out a ministerial duty.[SENTMARKER]The plaintiffs filed a motion for a preliminary injunction, which was denied by the District Court.[SENTMARKER]On June 10, 2020, the Seventh Circuit affirmed the district court's granting of a temporary injunction enjoining enforcement of an immigration rule in Illinois.[SENTMARKER]On July 21, 2020, the parties filed a joint motion to dismiss the case.[SENTMARKER]The parties agreed that the case should be dismissed, and the case is closed."
19,"On February 8, 2015, persons jailed for failing to pay their legal fines sued the City of Ferguson in the U.S. District Court for the Eastern District of Missouri under 42 U.S.C. § 1983, arguing that the City violated the Fourth, Sixth, Eighth, and Fourteenth Amendments of the U.S Constitution.[SENTMARKER]They asked the court for declaratory relief, injunctive relief, monetary damages, attorneys' fees, and costs.[SENTMARKER]The court denied multiple motions to dismiss, and the parties have engaged in extensive discovery.[SENTMARKER]The case is ongoing.","On February 8, 2015, a group of individuals brought a class action lawsuit in the U.S. District Court for the Eastern District of Missouri against the City of Ferguson, Missouri, alleging that the City's policies and practices of jailing people for failure to pay fines owed from traffic tickets and other minor offenses violated their rights under the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs sought declaratory, injunctive, and compensatory relief.[SENTMARKER]The District Court granted the plaintiffs' motion to dismiss for lack of jurisdiction, and the case was dismissed on February 13, 2018.[SENTMARKER]The plaintiffs appealed the district court's decision to dismiss the case.[SENTMARKER]The case is now closed."
