,gold_sents,pegasus_output_sents,oreo_pegasus_output_sents
112,"This case was brought in 2004 by a class of plaintiffs (composed of nearly 1,000 black current and former employees of Kodak) against Eastman Kodak Co. in the U.S. District Court for the Western District of New York, alleging that Kodak engaged in an ongoing pattern or practice of racial discrimination against African-American employees.[SENTMARKER]This case was settled in 2009 with Defendants agreeing to implement non-discriminatory employment practices and to pay damamges to the class.","On July 30, 2004, African American employees of Eastman Kodak Company (Kodak) filed a class action lawsuit against Kodak in the United States District Court for the Western District Of New York.[SENTMARKER]The complaint alleged that Kodak discriminated against African Americans in violation of Title VII of the Civil Rights Act of 1964 and the Equal Employment Opportunity Act of 1991 by denying them equal pay and promotion.[SENTMARKER]Kodak agreed to a settlement that provided for the payment of $21,376,500.00 to the 3008 Class Members who did not timely opt-out of participating in the settlement.[SENTMARKER]The settlement also resolved claims made in a related case, Aiston, et al y. Eastman Kodak Co., Civil Action No. 07-cv-65, which is also pending in the district court.[SENTMARKER]The parties agreed to dismiss all pending legal actions.",African American female employees of Eastman Kodak Co. sued the company in federal court in New York for racial discrimination.[SENTMARKER]The plaintiffs alleged that Kodak engaged in an ongoing pattern and practice of discrimination against its African American employees.[SENTMARKER]The case was settled in December 2013 and the parties agreed to a settlement amount of $1 million.[SENTMARKER]The settlement was subject to court approval.
113,"This 2017 lawsuit was brought by three detectives of the NYPD in the U.S. District Court for the Southern District of New York.[SENTMARKER]The plaintiffs claimed that the City of New York and various agents of the NYPD had violated Title VII of the Civil Rights Act of 1964 by implementing a secretive policy of refusing to promote deserving African American detectives solely based on race.[SENTMARKER]The parties reached a confidential settlement that was reported to include $700,000 in damages to cover backpay and loss of reputation.","On May 1, 2019, a group of African-American detectives in the New York Police Department's Intelligence Division filed a lawsuit in the U.S. District Court for the Southern District Of New York against the City and the NYPD alleging that they were denied promotions because of their race.[SENTMARKER]The case was dismissed by the Department of Justice on June 26, 2017.[SENTMARKER]The Named Plaintiffs and all other members of the Rule 23 Class sustained damages in violation of Title VII of the Civil Rights Act of 1964 and state and city human rights laws.[SENTMARKER]The Court granted the plaintiffs' motion for summary judgment on June 7, 2019.[SENTMARKER]The case is now closed.","In September 2018, a group of African-American detectives filed a class action lawsuit in the U.S. District Court for the Southern District of the New York against the NYPD, alleging that the NYPD's Intelligence Division discriminated against African-Americans by denying them promotions based on their race.[SENTMARKER]The complaint alleged that the Intelligence Division's secretive and unstructured promotions policy, administered by white supervisors, allowed the all-white supervisors to refuse to promote deserving black detectives.[SENTMARKER]On March 4, 2016, the EEOC issued a final determination in favor of the charging parties, concluding that there is reasonable cause to believe that the City violated Title VII individually and collectively.[SENTMARKER]The case is now closed."
114,"Current and former Black FDNY employees sued the City of New York alleging racial discrimination in their hiring, promotion, and compensation practices.[SENTMARKER]Plaintiffs sought to represent a class of individuals similarly situated who suffered from FDNY's policies that afforded too much discretion to higher-level individuals and fostered a culture of favoritism that harmed Black candidates for hiring and advancement.[SENTMARKER]The City filed a motion to dismiss and the Court partially granted the motion, but sustained the plaintiffs' claims related to the hiring and promotion practices with the FDNY.[SENTMARKER]The City moved for partial summary judgment in May 2020, arguing that the retired class representatives could not seek relief.[SENTMARKER]At the same time, the plaintiffs moved to certify the class.[SENTMARKER]Both motions were pending as of February 11, 2021.","In December 2017, a group of African American employees of the Fire Department of New York (the ""FDNY"") filed a lawsuit against the City, alleging that the FDNY discriminated against African Americans in its hiring, promotion, and compensation practices.[SENTMARKER]The plaintiffs alleged that FDNY used interviews to block African American advancement in the EMS ranks, facilitated the advancement of white employees through a policy change in 2010 that has continued thereafter, and denied African Americans the promotion to the EMS captain's position.[SENTMARKER]The parties entered into a settlement concerning both monetary relief and injunctive relief in 2015, which included the creation of the position of Chief Diversity and Inclusion Officer.[SENTMARKER]The district court granted the plaintiffs' motion for summary judgment, and the case was dismissed.","In December 2017, a group of African American employees of the Fire Department of New York (FDNY) filed a lawsuit in the U.S. District Court for the Southern District of Manhattan alleging that FDNY discriminated against African Americans in its hiring, promotion, and compensation practices.[SENTMARKER]The complaint alleged that the FDNY's pay-discrimination allegations were based on intentional discrimination and disparate impact.[SENTMARKER]The City moved to dismiss the complaint pursuant to Rule 12(b)(6) of the New York City Human Rights Law (NYCHRL), arguing that the complaint's factual allegations were insufficient to render plaintiffs' claims plausible.[SENTMARKER]In a prior opinion and order, this Court held that plaintiffs' complaint plausibly alleged discrimination in FDNY’s hiring and promotion practices but that it lacked sufficient factual allegations to raise a plausible inference that FD NY’s compensation practices are similarly flawed.[SENTMARKER]The Court found that plaintiffs failed to allege that these disparities arise as a result of intentional discrimination (Dkt No. 36 at 4–5) or, for purposes of plaintiffs’ disparate-impact claim, as result of FDNY policy or group of policies.[SENTMARKER]The case is now closed."
115,"In 2006, the Equal Employment Opportunity Commission (EEOC) and the plaintiff-intervenor, the complainant, filed this class action lawsuit against Pitt-Ohio  Express, Inc., a transport company, in the U.S. District Court for the Northern District of Ohio.[SENTMARKER]The plaintiffs alleged that Pitt-Ohio discriminated against women by refusing to hire women as truck drivers or dockworkers, in violation of Title VII 42 U.S.C. § 2000e.[SENTMARKER]On October 1, 2008, the court approved a settlement agreement between the plaintiff-intervenor and Pitt-Ohio.[SENTMARKER]The defendant agreed to pay $265,000 in monetary relief and  $305,000 in attorney fees and costs.[SENTMARKER]That same month, the court approved a consent decree between EEOC and Pitt-Ohio.[SENTMARKER]This decree required the defendant to pay $$2,430,000 to EEOC (to be distributed to women that were affected by the defendant’s discrimination), to adopt anti-discrimination policies, to offer driver and/or dockworker positions to the women that were discriminated against, and regularly report to the EEOC to ensure compliance.[SENTMARKER]This decree had a duration of five years.","On March 31, 2006, the Equal Employment Opportunity Commission (""EEOC"") filed this suit in the U.S. District Court for the Northern District of Ohio against Pitt-Ohio Express, LLC (""Pitt Ohio"") to enforce Title VII of the Civil Rights Act of 1964 (""Title VII"") and Section 102 of the civil rights act of 1991 (""Civil Rights Act"") provisions of Title VII.[SENTMARKER]The complaint alleged that since September 1, 1997, Pitt Ohio failed to hire women as truck drivers and dockworkers in its Ohio facilities because of their gender.[SENTMARKER]Pitt Ohio denied these allegations.[SENTMARKER]The parties entered into a settlement agreement in which Pitt Ohio agreed to implement corrective measures to ensure compliance with Title VII and to implement an equal opportunity component in its performance evaluations of its managers and supervisors.[SENTMARKER]As part of the settlement agreement, the parties agreed to post a notice to all employees and applicants about the terms of the agreement.","On March 31, 2006, the Equal Employment Opportunity Commission (EEOC) filed a lawsuit in the U.S. District Court for the Northern District of Ohio against Pitt-Ohio Express, Inc., alleging that the company failed to hire women as truck drivers and dockworkers in its Ohio facilities due to their gender.[SENTMARKER]The complaint alleged that the defendant did not hire or offer women a truck driver or dockworker position and did not offer or offer positions to other female applicants.[SENTMARKER]The defendant denied the allegations in the complaint.[SENTMARKER]The parties entered into a settlement agreement in which the defendant agreed to pay the plaintiff and the class injunctive relief.[SENTMARKER]The settlement agreement, which is subject to court approval, is effective for five years."
116,"In August 2001, the Cleveland District Office filed this lawsuit against Sundance Rehabilitation Corporation in the U.S. District Court for the Northern District of Ohio alleging violation of the Age Discrimination in Employment Act, Title I of the Americans with Disabilities Act of 1990, the Equal Pay Act of 1963, and Title VII of the Civil Rights Act of 1964.[SENTMARKER]The complaint specifically alleged that the defendant required terminated employees to sign a waiver of claims against the defendant, including EEO violations, in order to receive severance pay.[SENTMARKER]Following discovery and motions for summary judgment for both parties, the District Court granted summary judgment to the EEOC in July 2004.[SENTMARKER]The defendant appealed the decision to the U.S. Court of Appeals for the Sixth Circuit in September 2004.[SENTMARKER]The Court of Appeals reversed the District Court's judgment in October 2006.[SENTMARKER]The U.S. Supreme Court granted an extension of time to file a petition for a writ of certiorari in June 2007.[SENTMARKER]However, the docket does not indicate that this option was exercised.","The Equal Employment Opportunity Commission (EEOC) filed this suit in the U.S. District Court for the Northern District of Ohio against SunDance Rehabilitation Corporation (SunDance) under the antiretaliation provisions of the Americans with Disabilities Act (ADA), the Equal Pay Act of 1963 (EPA), and the Age Discrimination in Employment Act of 1967 (ADEA).[SENTMARKER]The complaint alleged that SunDance required employees to waive their rights to file EEOC charges and to participate in EEOC proceedings as a condition of receiving severance pay.[SENTMARKER]The district court granted EEOC's motion for summary judgment on liability and denied SunDance's appeal.","On August 1, 2001, the Equal Employment Opportunity Commission (EEOC) filed suit against SunDance Rehabilitation Corporation in the U.S. District Court for the Northern District of Ohio, alleging that the company violated the antiretaliation provisions of the Americans with Disabilities Act (ADA), the Age Discrimination in Employment Act (ADEA), and the Civil Rights Act of 1964 (Title VII) by offering severance pay to discharged employees in exchange for signing a separation agreement.[SENTMARKER]The district court granted summary judgment in favor of the EEOC, holding that the separation agreement did not amount to retaliation.[SENTMARKER]On appeal, SunDance appealed, claiming that the district court's decision to grant summary judgment to the EEOC violated the employer's First Amendment rights.[SENTMARKER]The case is now closed."
117,"On May 25, 2007 the United States Department of Justice (DOJ) filed a lawsuit against the Village of Woodmere, Ohio in the United States District Court for the Northern District of Ohio to enforce Title VII, 42 U.S.C. §2000e, et seq.[SENTMARKER]The D.O.J.[SENTMARKER]asked the court for injunctive and compensatory relief, alleging the defendant had violated Title VII by discriminating against two employees in the defendant's police department on the basis of their race (white) in termination of their employment.[SENTMARKER]The parties reached a settlement and the Court entered a three year consent decree on May 23, 2008.[SENTMARKER]The defendant agreed to implement new policies to deal with racial discrimination complaints and provide mandatory nondiscrimination training.[SENTMARKER]The individuals were to receive monetary awards, and one of them receive reinstatement.","On May 25, 2007, the United States of America filed this suit against the Village of Woodmere, Ohio, alleging that the defendant discriminated against a former police officer by failing or refusing to confirm her to regular status as a police officer within approximately one year after she began employment as a probationary B officer.[SENTMARKER]The suit also alleged that the village discharged a former officer on the basis of his race, white, in violation of Section 703(a) of Title VJI.[SENTMARKER]The case was assigned to Judge Donald C. Nugent of the United District of the Ohio, the Eastern Division, and the case was settled on August 14, 2008.","On May 25, 2007, the United States filed this suit against the Village of Woodmere, Ohio, alleging that the defendant discriminated against a former police officer on the basis of her race, white, and terminated her employment as a police officer in violation of Title VII.[SENTMARKER]The complaint alleged that the defendants failed or refused to confirm the officer to regular status as a probationary B officer within approximately one year after she began employment as an officer, failed or refusing to provide the officer with any pre-disciplinary/termination hearing, and failed to take appropriate action to remedy the effects of its discrimination against her.[SENTMARKER]The defendants filed a motion for intervention as of right with the case of United States of America vs.[SENTMARKER]Woodmere on May 25, 2007.[SENTMARKER]The case was dismissed by the court on May 26, 2008.[SENTMARKER]The case is now closed."
118,"On December 9, 2011, an openly gay former employee of Ohio Bell Telephone Company filed suit in U.S District Court for the Northern District of Ohio alleging that he had been dismissed in violation of the ADA, Title VII of the Civil Rights Act, and multiple sections of Ohio's Civil Rights Act. Plaintiff took his husband's last name after the couple was married in Massachusetts and had AIDS and alleged he was fired for those reasons.[SENTMARKER]The court denied Defendant's motion to dismiss and the case settled in September 2012.","In this case, a former Ohio Bell employee filed this complaint against the company under the Americans With Disabilities Act and Title VII of the Civil Rights Act.[SENTMARKER]The complaint alleged that the company terminated the employee because of his disability and his failure to conform to general stereotypes relating to his same sex marriage.[SENTMARKER]The defendant moved for summary judgment, arguing that there was no evidence that the employee's termination was based on his disability.[SENTMARKER]The court granted the defendant's summary judgment motion, finding that the plaintiff's disability was not a factor in the termination.","On December 31, 2008, Jason Koren filed this suit against Ohio Bell Telephone Co., alleging that he was terminated because of his disability and that the company violated the Americans with Disabilities Act (ADA) and Title VII of the Civil Rights Act of 1964 (OCRA).[SENTMARKER]Ohio Bell moved for summary judgment on all of Koren's claims, arguing that there was no evidence that his termination was based on his disability, and that it was related to legitimate, nondiscriminatory reasons.[SENTMARKER]The court denied Ohio Bell's motion for summary judgement, finding that it had not proved its case.[SENTMARKER]The case is now closed."
119,"On January 18, 2001, the U.S. Department of Justice (""D.O.J."")[SENTMARKER]filed a lawsuit under Title VII of the Civil Rights Act of 1964 against the City of Sulphur in the U.S. District Court for the Eastern District of Oklahoma alleging that the City discriminated against a Mexican-American employee on the basis of his national origin, when it failed or refused to promote him and took no action to remedy the effects of discrimination.[SENTMARKER]The D.O.J.[SENTMARKER]sought injunctive and monetary relief.[SENTMARKER]On February 23, 2001, the Court entered a consent decree, containing injunctions on discrimination and retaliation, with orders to the defendant to implement a nondiscriminatory policy and antidiscrimination training.[SENTMARKER]The individual received $45,000.[SENTMARKER]The decree expired after five years.","On January 18, 2001, the United States of America brought this suit against the City of Sulphur, Oklahoma, alleging that the City violated Title VII of the Civil Rights Act of 1964 by denying a Mexican-American employee a promotion to the position of Sanitation Department Superintendent.[SENTMARKER]The parties agreed to a consent decree, which was entered on February 23, 2001.[SENTMARKER]The decree required the City to comply with Title VII and its anti-discrimination policies and practices.[SENTMARKER]The decree terminated five years from the date of its entry.","The United States filed this suit against the City of Sulphur, Oklahoma.[SENTMARKER]The suit alleged that the defendant discriminated against a Mexican-American employee by denying him a promotion to the position of Sanitation Department Superintendent.[SENTMARKER]The case was transferred to the District Court for the Eastern district of Oklahoma and the parties agreed to settle the case by consent decree."
120,"On November 3, 2003, African-American employees of Kraft Foods filed a lawsuit against their employer in the United States District Court for the Eastern District of Pennsylvania.[SENTMARKER]The plaintiffs alleged violations of Title VII of the Civil Rights Act of 1964, 42 U.S.C. 2000e, contending that Kraft had discriminated with regard to discipline and hiring.[SENTMARKER]<br /><br />The court approved a preliminary settlement agreement on May 1, 2007 in which Kraft agreed to pay $1.325 million and grant other forms of non-monetary relief.","In November 1999, a former employee of Kraft Foods' Philadelphia bakery filed a charge of discrimination with the Pennsylvania Human Relations Commission (HRC) and the EEOC.[SENTMARKER]The complaint alleged that Kraft Foods discriminated against African-Americans with respect to job discipline and classification.[SENTMARKER]The HRC and EEOC conducted an audit of Nabisco's Philadelphia bakery.[SENTMARKER]The audit found that Nabisco had a long history of discriminating against African American employees.[SENTMARKER]The two current employees of Kraft filed this class action lawsuit against Kraft Foods in the U.S. District Court for the Eastern District of Pennsylvania.[SENTMARKER]The case was stayed until the parties reached a settlement agreement.[SENTMARKER]The settlement agreement, which was approved by the court in 2007, requires that all present hourly employees at the Philadelphia bakery shall be annually and anonymously surveyed to determine their attitudes with regard to workplace fairness.","On November 3, 1999, a former African-American employee of Kraft Foods filed a class action lawsuit against Kraft Foods in the United States District Court for the Eastern district of Pennsylvania under Title VII of the Civil Rights Act of 1964, as amended.[SENTMARKER]The complaint alleged that Kraft discriminated against African-Americans with respect to job discipline and classification.[SENTMARKER]The class was made up of all hourly employees who worked in Kraft's Philadelphia Bakery from November 3 to the present.[SENTMARKER]The settlement was approved by the court on June 3, 2004 and is subject to court approval."
121,"Four plaintiffs, on behalf of themselves and others similarly situated, filed a lawsuit against Latrobe Specialty Steel Company for violations of the Age Discrimination in Employment Act (ADEA).[SENTMARKER]All four plaintiffs were over the age of fifty and were terminated following the discovery of inappropriate emails on their work email accounts.[SENTMARKER]Despite the plaintiffs' claims that the emails were a pretext for age discrimination, the court held that there was no evidence that but for their ages, the plaintiffs would not have been terminated.[SENTMARKER]Thus, the court granted summary judgment in favor of the defendant, which was affirmed by the appellate court.[SENTMARKER]Taxation was assessed against the plaintiffs in the amount of $21,863.88.","On November 8, 2007, a group of former Latrobe employees filed a class action lawsuit against the company under the Age Discrimination in Employment Act of 1967 (ADEA) alleging that they were terminated for sending sexually explicit emails on company time and equipment.[SENTMARKER]The complaint alleged that Latrobe targeted a class of employees over the age of forty for termination based largely, if not exclusively, on their age.[SENTMARKER]On December 29, 2010, the District Court granted summary judgment in favor of Latrobe, concluding that ""but for"" their ages, LSS would not have terminated their employment.","DATE | U.S. District Court for the Western District of Pennsylvania ORG | DATE ||| December 29, 2010 DATE | DATE DATE | United States Court of Appeals for the Third Circuit Date ||| September 26, 2012 DATE [CONTENDITIONAL ARTICLE] On December 29, 2010, the District Court granted summary judgment in favor of the defendant Latrobe specialty steel company, concluding that the plaintiffs had failed to demonstrate that their age was a pretext for age discrimination in violation of the Age Discrimination in Employment Act (ADEA) and the Federal Rules of Civil Procedure (EC).[SENTMARKER]The district court was affirmed on appeal by the third circuit and the Race Tires case has been decided.[SENTMARKER]The case is now closed."
122,"On April 30, 2010, the plaintiff, an African American job applicant with a felony criminal record, filed this class action lawsuit against the defendants, a company and its affiliates which specialized in training truck drivers and placing them with trucking companies.[SENTMARKER]The plaintiff alleged that the defendants refused to procure placement for applicants with a felony conviction, and because of this practice, disparately impacted African American and Latino applicants.[SENTMARKER]The parties settled on August 17, 2012.","On January 17, 2012, a lawsuit was filed in the U.S. District Court for the Southern District of New York on behalf of African American and Latino applicants who were rejected for entry-level truck driver positions because of their criminal histories.[SENTMARKER]The lawsuit alleged that Driver Solutions' policy of rejecting applicants with criminal histories has a disparate impact on African American, Latino applicants in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]The parties reached a settlement on January 17, 2012 involving monetary relief of $475,000 and injunctive relief.[SENTMARKER]The parties believe they would have prevailed at trial, but there was no trial.[SENTMARKER]Instead, both sides agreed to a settlement.[SENTMARKER]That way they avoid the cost of a trial and the risk of an uncertain outcome at trial.","On April 30, 2010, a class action lawsuit was filed in the U.S. District Court for the Southern District of New York on behalf of African American and Latino job applicants who were denied entry-level truck driver positions because of their criminal histories.[SENTMARKER]The lawsuit alleged that Driver Solutions, Inc., Driver Holdings, LLC, and C&S Acquisitions, Inc, violated Title VII of the Civil Rights Act of 1964 by refusing to place applicants with criminal histories with well-known trucking companies.[SENTMARKER]The suit sought backpay, attorneys' fees, and costs, and an injunction preventing Driver Solutions from continuing to enforce its criminal background policy.[SENTMARKER]The case was settled in January 2012 in a settlement agreement that created a fund of $475,000.[SENTMARKER]The court still has to approve the settlement agreement."
123,"This sexual harassment case was brought by the Memphis office of the EEOC in 2006.[SENTMARKER]The case was resolved by Consent Decree in November 2007 which provided individual relief and also required anti-discrimination training, posting of policies and reports to the EEOC.","A I Products, Inc., a Memphis, Tennessee-based warehouse company, and the Equal Employment Opportunity Commission (ECF) entered into a consent decree to settle a Title VII lawsuit brought by the ECF in September 2004 in the U.S. District Court for the Western District of Tennessee.[SENTMARKER]The consent decree, which was entered with the consent of the parties for purposes of settlement, required the defendant to implement a policy against sexual harassment and retaliation in violation of Title VII.[SENTMARKER]The defendant also agreed to provide all employees at its Memphis facility with training on how to prevent, identify and remedy sexual harassment, and to implement its policy against discrimination.","November 2004 DATE | Memphis, Tennessee ORG | Memphis warehouse ORG| EEOC ORG ORG [CONTRACT] In November 2004, two female employees of a Memphis warehouse filed a sexual discrimination charge with the EEOC.[SENTMARKER]The complaint alleged that a male co-worker repeatedly exposed and fondled himself in front of one or the other woman on a frequent basis, and that the female employees miscounted a shipment of belts.[SENTMARKER]The parties reached a consent decree.[SENTMARKER]The consent decree required the defendant to provide two reports to the EEOC describing each complaint and the investigation conducted by the defendant in response to each complaint.[SENTMARKER]The defendant also agreed to provide training to all supervisors and managerial personnel."
124,"The Memphis Office of the EEOC brought this suit against Paramount Staffing, Inc. in September 2006 in the United States District Court for the Western District of Tennessee (Memphis).[SENTMARKER]The complaint alleged discrimination and retaliation based on race (African American) and national origin (American).[SENTMARKER]The parties settled out of court on a two-year consent decree.","On or around February 2004, and continuing thereafter, Defendant Paramount Staffing, Inc., engaged in unlawful employment practices at its facility in Memphis, Tennessee in violation of 703(a) and 704(a), as amended.[SENTMARKER]The unlawful practices included, but are not limited to, discriminating against Earnestine Toler and a class of African Americans who were seeking temporary work.[SENTMARKER]The parties have now settled the case.[SENTMARKER]The terms of this consent decree apply only to the operations of the Defendant in Memphis.","The United States District Court for the Western District of Tennessee, Western Division, filed this suit in February 2004 against Paramount Staffing, Inc., a Memphis, Tennessee-based staffing company.[SENTMARKER]The suit alleged that the company discriminated against African Americans by denying them temporary employment because of their race and national origin, American.[SENTMARKER]The parties settled the case in June 2006 by agreeing to a consent decree.[SENTMARKER]The consent decree is subject to approval by the court."
125,"In 2006, the Equal Employment Opportunity Commission (EEOC) brought this suit against Sharp Manufacturing Company in the U.S. District for the Western District of Tennessee.[SENTMARKER]The complaint alleged that Sharp violated the Americans with Disabilities Act by failing to provide the complainant with reasonable accommodation and discharged her because of her disability.[SENTMARKER]The EEOC sought injunctive and monetary relief as well as punitive damages against the defendant.[SENTMARKER]In 2009, the court approved the parties’ consent decree.[SENTMARKER]This decree had a duration of one year and instructed the defendant to: refrain from unlawful employment discrimination and retaliation; report to the EEOC on compliance with Title VII; revise its policies on reasonable accommodations; post notices of this agreement in their offices; pay $30,000.00 to the plaintiff.[SENTMARKER]The case is closed.","On September 19, 2006, the Equal Employment Opportunity Commission (EOC) filed this suit against Sharp Manufacturing Company of America in the United States District Court for the Western district of Tennessee.[SENTMARKER]The complaint alleged that the defendant violated the Americans With Disabilities Act (ADA) by failing to provide a reasonable accommodation and discharging an employee because of her disability, osteoarthritis.[SENTMARKER]The parties entered into a consent decree in which the defendant agreed to post a notice of the consent decree to all of its employees for six months.[SENTMARKER]The consent decree did not constitute an admission by the defendant of any violation of the ADA or any executive order, law, rule or regulation dealing with or in connection with discrimination in employment.[SENTMARKER]The court entered a final judgment in favor of the defendant in September 2009.","On September 19, 2006, the Equal Employment Opportunity Commission filed this suit in the U.S. District Court for the Western District of Tennessee against Sharp Manufacturing Company of America.[SENTMARKER]The complaint alleged that Sharp violated the Americans with Disabilities Act of 1990 and Title I of the Civil Rights Act of 1991 by failing to provide an employee with a reasonable accommodation and discharging her because of her disability, osteoarthritis.[SENTMARKER]As part of a consent decree, the parties agreed that Sharp would post a notice at its Memphis, Tennessee facility for an extended period of time containing the terms of the consent decree.[SENTMARKER]The parties also agreed that the defendant would pay Delores Vaughn $30,00 as compensation.[SENTMARKER]The consent decree was entered on September 6, 2006, and the parties entered it into effect on January 22, 2009."
126,"On January 22, 2004 a group of Fairfield Resorts employees filed this class action lawsuit against Cendant Corporation, Fairfield Resorts, and 15 individuals working at Fairfield Resorts in the U.S. District Court for the Middle District of Tennessee, Nashville Division.[SENTMARKER]The plaintiffs were filing suit over alleged sexual harassment, gender discrimination, and retaliation they experienced on the job.[SENTMARKER]On October 28, 2005, Judge William J. Haynes approved a consent decree granting monetary relief to plaintiffs and other female employees.","[ENTITYCHAIN] December 22, 2004 DATE | U.S. District Court for the Middle District of Tennessee ORG | Cendant Corp.<n>On December 22, 2004, five former female employees and one current male employee of Fairfield Resorts, Inc. filed a lawsuit in the United States District Court, Nashville Division, asserting claims of sexual harassment, gender discrimination and retaliation in violation of Title VII and state law.[SENTMARKER]The plaintiffs sought injunctive and equitable relief, including back pay, as well as compensatory and punitive damages for themselves and the putative class, and a jury trial.[SENTMARKER]The parties entered into a consent decree, which was entered on December 22, 2004.[SENTMARKER]The parties agreed to modify the complaint processing system so that once corrective action has been taken, the complaining party will be informed of the type of corrective action, but not the details of the action.[SENTMARKER]The consent decree is subject to final approval by the court.","On October 15, 2005, the parties entered into a consent decree.[SENTMARKER]The consent decree was entered by Judge William J. Haynes of the District Court.[SENTMARKER]The parties agreed to a settlement amount of $150,000.[SENTMARKER]The settlement was subject to approval by the court."
127,"On September 28, 2006, The Dallas District Office of the EEOC filed this lawsuit in the U.S. District Court for the Northern District of Texas.[SENTMARKER]The plaintiff sued Beall Concrete Enterprises, Inc., a wholly-owned subsidiary of U.S. Concrete, Inc. under the Americans with Disabilities Act of 1990 and the Age Discrimination in Employment Act. On April 3, 2008, Judge Reed O'Connor approved a consent decree over the remaining claim that the defendant had violated the Age Discrimination in Employment Act.[SENTMARKER]The consent decree required the defendant to pay the complainant $50,000 in backpay, conduct ADEA training for its employees for two years, and post a notice about federal anti-discrimination employment laws.","On September 30, 2006, the EEOC filed this suit against Beall Concrete Enterprises, Inc., a wholly owned subsidiary of United States Concrete Corp., in the United States district court for the northern district of Texas.[SENTMARKER]The complaint alleged that the defendant discriminated against its employees by failing to provide reasonable accommodation and then terminating their employment due to a record of a disability.[SENTMARKER]The parties entered into a consent decree on September 28, 2006.[SENTMARKER]The decree required the defendant to comply with the terms of the ADA and the civil rights laws.[SENTMARKER]The decree was effective for two years from the date of entry of the decree, and the parties agreed to dismiss the case.","On September 28, 2006, the Equal Employment Opportunity Commission filed a lawsuit in the United States District Court for the Northern District of Texas against Beall Concrete Enterprises, Inc. alleging that the defendant violated the Age Discrimination in Employment Act of 1967 (""ADEA""), as amended, when it terminated a worker because of his age.[SENTMARKER]The parties reached a settlement in which the defendant agreed to pay the plaintiff $50,000.00 in full and [mal settlement of the claims asserted by the EEOC on behalf of the plaintiff.[SENTMARKER]The settlement is subject to court approval."
128,"On November 9, 1999, the Equal Employment Opportunity Commission (""EEOC""), on behalf of a female employee, filed a lawsuit in the Northern District Court of Texas, under Title VII of the Civil Rights Act of 1964, as amended, and Title I of the Civil Rights Act of 1991, as amended, against Parfumes De Couer Limited, Inc.[SENTMARKER]The EEOC sought reinstatement of the applicant, injunctive relief, compensatory damages, punitive damages, attorneys' fees, and other forms of affirmative relief claiming that the defendant fired the complainant based on her sex because she was pregnant.[SENTMARKER]On March 23, 2001, the District Court entered a consent decree where the defendant, among other things, agreed to pay the complainant $5,000.","The Equal Employment Opportunity Commission (EOC) filed this suit in the U.S. District Court for the Northern district of Texas on March 9, 2001 in the United States District Court.[SENTMARKER]The complaint alleged that Parfumes de Couer violated Title VII by discharging a female employee based on her sex, female, and because of her pregnancy.[SENTMARKER]The parties entered into a consent decree in March 2000.[SENTMARKER]The consent decree required Parfumes to post its anti-discrimination policy on the employee bulletin board within ten (10) days after the entry of this consent decree, to distribute the policy to each employee within 30 days, and to require each employee to sign an Acknowledgement stating that the employee has received and reviewed the policy.","The Equal Employment Opportunity Commission filed this suit in the United States District Court for the Northern District of Texas on November 9, 1999 against Parfumes De Couer, Ltd., Inc. (Parfums de Coeur) alleging that the defendant violated Title VII of the Civil Rights Act of 1964, 42 U.S.C.  2000e-5(f), (3), and Section 102 of the civil rights act of 1991 by discharging a female employee based on her sex, female, and because of her pregnancy.[SENTMARKER]The parties entered into a consent decree in which Parfums de Couer agreed to post its anti-discrimination policy within ten (10) days of the entry of this consent decree.[SENTMARKER]The consent decree is subject to final approval by the court."
129,"On September 19, 2002, the Equal Employment Opportunity Commission (""EEOC""), on behalf of a black employee, filed a lawsuit in the Western District Court of Texas against Union Pacific Railroad Company.[SENTMARKER]On January 21, 2004, the District Court (Judge David Briones) entered a consent decree where the defendant, among other things, agreed to pay the plaintiff-intervenor $84,000.","On August 25, 1999, the EEOC filed this suit against Union Pacific in the United States District Court in El Paso, Texas.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by discharging an African American employee because of his race and by continuing its discriminatory practice of denying him the right to employment and reinstatement through 2001.[SENTMARKER]The case was settled on February 3, 2004 in a consent decree.[SENTMARKER]The consent decree enjoined the defendant from terminating the employment of any employee on the basis of his or her race and from retaliation.[SENTMARKER]It also required the defendant to mail or e-mail copies of its Equal Employment Opportunity policies to its employees in the El Paso Transportation Department and provide sexual training to its managerial and supervisory employees that explains the damaging effects of race discrimination.","In September 2002, the Equal Employment Opportunity Commission (EEOC) filed this suit against Union Pacific Railroad Company (Union Pacific) in the United States District Court in El Paso, Texas.[SENTMARKER]The complaint alleged that the defendant violated the federal anti-discrimination laws by failing to hire and promote employees who were minorities, women, and people with disabilities.[SENTMARKER]The parties entered into a consent decree in February 2004 to resolve the case.[SENTMARKER]The consent decree was entered by Judge David Briones (jm) on February 3, 2004.[SENTMARKER]The parties agreed to the entry of a final judgment in favor of the defendant, and the case was closed."
